"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"13/01/2024 01:00:00 - 13/01/2024 02:00:00","CTA|EE","Biomass","80.80"
"13/01/2024 02:00:00 - 13/01/2024 03:00:00","CTA|EE","Biomass","82.20"
"13/01/2024 03:00:00 - 13/01/2024 04:00:00","CTA|EE","Biomass","84.80"
"13/01/2024 04:00:00 - 13/01/2024 05:00:00","CTA|EE","Biomass","83.10"
"13/01/2024 05:00:00 - 13/01/2024 06:00:00","CTA|EE","Biomass","85.60"
"13/01/2024 06:00:00 - 13/01/2024 07:00:00","CTA|EE","Biomass","87.40"
"13/01/2024 07:00:00 - 13/01/2024 08:00:00","CTA|EE","Biomass","87.50"
"13/01/2024 08:00:00 - 13/01/2024 09:00:00","CTA|EE","Biomass","87.10"
"13/01/2024 09:00:00 - 13/01/2024 10:00:00","CTA|EE","Biomass","88.50"
"13/01/2024 10:00:00 - 13/01/2024 11:00:00","CTA|EE","Biomass","89.70"
